문예진,이상민,정수연,정승연,황의린,평균,표준편차,상품명,리뷰,index
,2,2,2,,2,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"벌써 세번째 재구매,,
 수분충전으로는 너무 좋아요. 보습력있는 제품 한번 더 발라야해서 단독사용은 무리지만 지성은 여름에 이것만 발라줘도 충분할 것 같습니다.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",700
,2,2,2,,2,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"발링성도좋고 일단 항이 없고 순한것 같아 마음에 듭니디ㅡ. 촉촉하고 자극없어 잘 사용하고 있어요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",701
,1,1,1,,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"하도 좋다고 유명해서 써봤는데 좋긴 하네요!! 순하고 발림성이 부드러운 것 같아요!! 여름에 딱!!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",702
,1,1,1,,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"수분크리을 안쓰다가 이 친구와 닥터지?릉 써봤는데
 다시 자작나무로 돌아왓어요
 뭐랄까 딱히 막 엄청 좋은건 없는데
 그렇게 나쁘지도 않고..
 세일할때 사면 가격도 괜찮아서 자주 이용하고 잇어요~
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",703
,1,1,2,,1.333333333,0.5773502692,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"가볍게 바르기 좋은 제품입니다. 지성피부에 좋아요. 재구매템입니다.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",704
,2,2,2,,2,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"친언니가 사용하는거 훔쳐쓰고 괜찮길래 구매했어요~~~ 엄청 예민 피부인데 트러블 안나고 좋아요! 수분감 미쳤다기보다는 그냥 딱 가격대비수분크림입니다:) 앰플바르고 위에 한번 덮어주는 식으로 발라요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",705
,2,2,2,,2,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"피부가 복합성인데다 피지가 많아 여름에 기초화장품 선택하기가 너무 어려운 타입인데, 이 수분크림은 가볍게 사용하기 좋은 것 같아요
 너무 무겁지도 않고 데일리로 부담없이 사용하기 좋아요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",706
,1,1,1,,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"수분크림 저렴하게 구입했어요 20ml나 더 주시네요 여행갈때 땩이예요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",707
,1,1,1,,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"주문한지2일뒤에왔고 생각보다 작긴한데 기대됩니다
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",708
,,2,1,,1.5,0.7071067812,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"수분크림 갈아타려고 찾아보다가 이 제품이 리뷰가 너무 좋아서 속는 셈 치고 구매해봤어요
 속건조가 심한 편인데 속건조도 잡아주고 순해서 좋아요
 가격이 다른 수분 크림보다 비싼 편이지만 그래도 다 쓰면 재구매 할 거예요!!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",709
,1,1,1,,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"추천 받아서 구매하는 제품입니다! 아직 사용전이지만 기대됩니다
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",710
,,1,2,,1.5,0.7071067812,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"여름용 수분크림을 찾던 찰나에 샘플을 써보고 바로 구입한 제품입니다. 크림 안에 든 작은 알갱이들이 피부에 스며들면서 촉촉함을 더해주는것 같아요. 더운날씨에 사용하기 적절하게 끈적임없이 촉촉한 수분만 더해줘서 만족스러운 제품입니다.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",711
,1,1,1,,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"ㅎㅎ 저렴할때 사봤어요 기대중이에요 좋길 바랍니다
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",712
,,2,1,,1.5,0.7071067812,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"왜 인기제품인지 모르겠다... 딱히 기름 잘 잡아준다 진정에 좋다 그냥 다른 크림도 이정도 할듯
 그리고 제형에 알갱이들 있는데 얼굴 피부에 바르는데 빡빡 문댈거도 아닌데 발라도 남아있어서 신경쓰여요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",713
,1,1,1,,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"배달이 바꼈네요 훨씬 편하고 좋네요
 지금 2번째인데 저랑 잘맞네요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",714
,2,2,2,,2,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"조금만 발라도 엄청 촉촉해져요 일주일 정도 바를땐 좋았은데 뒤로 갈수록 그렇게 좋은지 모르겠어요 바를때 수분캡슐이 있는데 잘 안터지고 얼굴에 막 돌아다녀서 좀 거슬림
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",715
,2,1,1,,1.333333333,0.5773502692,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"향도 괜찮고 무엇보다 흡수는 빠르고 보습은 오래 갑니다
 세일핼때 사면 더 좋아요 이거 좋은거 많이많이 알려져야 할텐데
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",716
,3,3,3,,3,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"추천 영상보고 지성에게 수분감과 아주 약간의 유분으로 유분 조절에 효과적이라고 해서 구매했습니다. 며칠 사용해 본 결과 확실히 바르고 난 직후 유분감이 별로 없고 제형은 그에 반해서 살짝 꾸덕한 느낌입니다. 그렇지만 시간이 지나면 전보다는 마묘하게 덜하지만 그래도 유분이 비슷하게 올라오는 것 같아요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",717
,3,3,3,,3,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"여름용 지성 추천 젤크림이에요. 순하고 무향에 흡수도 금방되고 너무 건조하지도 않습니다. 다만 단점이 있다면 안에 있는 알갱이가 잘 안터져요. 알갱이는 젤리같아서 손으로 만져도 잘 안느껴지는데 시간지나면 자꾸 얼굴 어딘가에서 발견돼요. 꼭 찾아서 터뜨려주어야한다는 번거로움?
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",718
,1,1,1,,1,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"테스트해보고 구매했어요! 회사 지인분이 추천해줬었는데
 이제서야 사네요 ㅋㅋㅋ수부지가 잡혔으면 좋겠어여
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",719
,1,1,2,,1.333333333,0.5773502692,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"처음에 수분크림은 의심스러워서 에센스부터 사용했어요 에센스 구매시에 서비스로 받은 수분크림이였는데요. 수분감 높고 여름에 쿨링감도 줄겸 써봤는데 너무 좋아서 본품으로 구매했어요.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",720
,2,2,3,,2.333333333,0.5773502692,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"자작나무 수분크림 많이 봤었고 좋다는 얘기 많이 들어서 궁금했었거든요. 원래 쓰던게 있기도 했는데 선물을 받아서 좋은기회로 사용해보게 되었는데요. 일단 너무 순한거같아요 많이 발라도 모공을 막거나 그런느낌없이 흡수도 잘되구요. 그래도 가벼운 타입이라 여름에 바르면 더 좋을것같은 느낌이에요! 발림성도 좋고 겉에 맴도는 느낌이 아니구요. 바르는순간 시원한 느낌이 들어서 그것도 좋았어요. 다쓰면 재구매 생각도 있을만큼 만족하는 제품이였어요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",721
,3,3,3,,3,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"오~ 생각보다 좋은 것 같습니당! 인기는 많은데 제 피부가 예민하고 지성이라 반신반의 하면서 구매할까말까 고민 엄청 했는데 잘한듯 싶어요~! 생각보다 제형은 좀 꾸덕하지만 오히려 그래서 보습력이 좋은 것 같습니당! 근데 지속력은 꽤 오래가진 않아요~ 피부결이 더 좋아진다거나 수분이 더 많아진다거나 그런건 아닌데 피부 트러블이 안 나는 것만으로도 꽤 만족합니다. 그렇지만 재구매 의사는 한 번 더 생각해볼거 같긴 합니당~~~~ 그래도 순한 것 같아서 다른 사람에게 추천할만한 한 것 같아요!!!! 근데 알갱이 같은 것도 있던데 그건 도대체 뭔가용?
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",722
,3,3,3,,3,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"수분크림을 타 브랜드에서 사용하다가 가격이 부담스럽기도 하고 제 피부에는 큰 보습 효과가 없는 것 이 제품을 구매했습니다 ! 이 제품이 유명하기도 하고 주변에서 추천을 해줘서 구매를 했는데 우선 제 피부에는 잘 맞는 것 같아요 ! 예민한 제 피부에 맞을 정도면 제품 자체도 순하고 좋은 것 같아요:) 아직 사용한지 얼마 안되서 큰 효과가 있다는 건 잘 모르겠지만 꼭 큰 효과가 나타났으면 좋겠습니다 ! 이렇게 크림 20ml 증정까지 하면서 세일하는 게 너무 좋아요 ! 세일한 덕분에 저렴하게 구매했는데 더 자주 세일해서 인생 수분크림으로 정착하고 싶습니다 !
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",723
,2,2,2,,2,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"음.. 제가 느끼기엔 평타는 하는거같아요~ 수분감도 어느정도있고, 바르면 촉촉해지고, 산뜻하고 흡수 잘되고 밀리지도않고 다 좋은데 그 알맹이들이 잘 안터져요ㅜㅜ... 바를때마다 일일이 손으로 꾹 눌러서 터트려줘야하는 번거로움이..... 그래서 사용은 잘 안하게 되더라구요~ 제품 제형은 가벼운 제형이구요~ 흡수력 좋습니다! 다만 저는 저 알갱이들 때문에 화장하기 전에는 절대 바르지않고, 자기전에만 발라줘요. 알갱이들이 잘 터지기만 했어도 좋았을텐데.. 하는 생각이 계속 떠오르는건 어찌 할수가 없네요ㅜㅜ 일단 아직까지는 재구매 의사는 없어요.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",724
,3,3,3,,3,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"세통째 쓰는 수분크림입니다!!
 지성피부에 민감해서 화장품 잘못 쓰면 다 뒤집히는데 ㅠㅠ 요건 올리브영 매장에서 손등이 살짝 테스트해보고 사봤어요 
 우선 제형이 너무 묽지도 꾸덕하지도 않아서 마음에 듭니다 바르면 시원한 느낌은 왜때문인거죠..? 마치 냉장고에 살짝 넣어둔 듯 시원한 느낌이 들고 산뜻하게 발립니다
 바르고 나서 적절하게 흡수 되어요 너무 무겁지도 않고 너무 금방 흡수되어서 건조하지도 않구요 !!
 향은 이렇다할 느낌 없이 그냥 무난합니다 ㅎㅎ
 패키지도 딱 깔끔하고 가격도 괜찮고 전반적으로 진짜 마음이 드는 크림이에요 : )
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",725
,3,3,3,,3,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"일단 정말 좋은 제품은 확실합니다. 저녁에 세안 후 피부에 듬뿍 바르고 자면 그 다음날 아침에 피부가 엄청 부드러워져 있습니다. 아침에 크림을 듬뿍 바르면 저녁까지 피부가 촉촉하게 유지가 잘 됩니다. 수분 보습에 정말 효과가 높은 제품이에요. 향도 없어서 누구나 편하게 쓸 수 있어요. 이 가격에 이 정도 성능이면 정말 만족합니다!
 근데 다만 아쉬운 점이 딱 한가지 있습니다. 크림에 작은 투명색 알갱이가 들어있는데 이 알갱이가 쉽게 터지지않아서 크림을 바른 후 쿠션을 두드리면 화장품과 섞입니다. 그래서 작은 알갱이가 얼굴에 쿠션과 섞인 채로 있어서 이 점이 다소 아쉽습니다..
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",726
,1,2,2,,1.666666667,0.5773502692,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"아 이제품 반했어요~피지오겔은 늦봄이나 초여름에 바르기엔 살짝 무겁다고 느껴서 수분크림 찾고 있었는데 이제품 너무 제 피부에 잘 맞아서 재구매했음요.와우 수분크림중에 젤로 조아여. 맘에듬 또 구매할거임
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",727
,3,3,3,,3,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"수분크림 필요해서 구입했어요. 평소 쉽게 붉어지고 유분기가 많은 복합성 피부예요. 속건성이 있어서 촉촉한 제품 선호하는데 그렇다고 너무 가볍거나 무거운 건 싫더라구요. 너무 가벼우면 촉촉함을 다 느끼기도 전에 흡수되는 느낌이고 무거우면 꼭 다음날 트러블이 발생하고 마는 ..ㅜㅜ 근데 이 제품은 그런 거 없이 산뜻하면서 촉촉해서 너무 좋아요 !! 패키지도 괜찮고, 제품 자체도 좋아서 주변 사람들한테도 추천 많이했어요~~ 다들 써보더니 좋다고 사야겠다고 그러더라구요 ㅋㅋ 이번에 저렴한 가격에 구매했는데 다음에 올영 세일할 때 또 한 번 쟁여두려합니다
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",728
,3,3,3,,3,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"어... 가격 똑같길래 원쁠원인줄알고 막 샀는데 아니엇네욥ㅋㅋ... 매장에 이것밖에 없어서 산건데 우우 족금 억울ㅋㅋ... 어 저번에 자작나무선크림 리뉴얼되어서 차단지수 좋다길래 고민하기싫어서 그 선크림 샀다가 같이 들어있던 증정품 자작나무수분크림 좀 써봤을때 기름지지않고 괜찮길래 다른 수분크림 또 탐색하기 귀찮아서 샀어요 지성이라 기름진거 사용하면 모낭염나서 기름지지않은 거 써야하는데 또 보습력이 너무 없으면 각질이 떠가지고 아 짜증나는데 이건 딱 괜찮은 수분크림같아요 증정품 잘썼으면 자작나무 알러지?같은거 없는거겠죠? 한가지 짜증나는점은 다 좋은데 알갱이가 안녹아요 이게멍미...
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",729
,3,3,3,,3,0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"예전에 라운드랩 미스트가 유명해서 사용했던 기억이 있었는데 사실 그 때는 워낙 미스트가 많아서 정착해서 사용하지 않았던 것 같아요. 그렇게 라운드랩을 잊어가고 있을 때 알게 된 수분크림이 이 자작나무 수분크림이에요. 처음에 수분크림을 발랐을 때 얼굴에 때가 밀려나오는 줄 알고 너무 놀랐어요 ㅋㅋㅋ 그게 비타민이라 마사지 잘해서 흡수 시켜야 된다는 사실을 알았을 때 그제서야 안심을 하고 사용했는데 보습도 좋지만 안색도 좋아진 것 같아요 
 피부톤이 반톤 정도 올라갔다는 생각이 들었어요~ 예민한 편인 피부에도 트러블 없이 사용중입니다. 순한편인 것 같아요~
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",730
