문예진,이상민,정수연,정승연,황의린,평균,표준편차,상품명,리뷰,index
,,,,3,3,#DIV/0!,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"아비브는 워낙 진정으로 유명한 브랜드라 믿고 신청해봤어요:)
 어성초팩은 항상 쟁여놓을 정도로 자주, 많이 사용하고
 어성초 에센스도 잘 사용해서 이 제춤도 기대하고 사용했습니다!
 
 처음에 제품 받아보고 용기가 형광 연두? 색이라 당황했는데 이것도 나름 청량해보이고 좋았어요ㅎㅎ
 
 제형은 그냥 주르륵 흐르는 물 제형이지만 속당김을 잘 잡아줘서 건조하지는 않았습니다! 
 다만, 건성분들은 이 제품을 사용할시에 로션이나 크림을 잘 발라줘야 할 것 같아요 :(
 
 저는 화장솜에 적셔서 스킨팩으로 사용했는데 그게 진정이 잘되고 좋았어요(아까우니까 화장솜 잘 선택하세요 ㅠㅠ)
 
 매일 사용하기에도 부담없는 토너이지만 진정효과가 좋아서 저는 마스크를 오래 사용한 날, 피부가 예민한 날 사용합니다 :)
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 * 본 상품 후기는 올영체험단으로 선정되어 CJ올리브영으로부터 위 상품을 무료로 제공받아 작성한 것입니다.",2033
,,,,4,4,,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"아비브 어성초 카밍 토너는 트러블 진정효과를 기대하며 사용했어요.
 🚰💦먼저 보습감이 좋았어요 토너를 바르고 나면 미끌미끌 거리는 느낌이라 가벼운 토너라기보다 보습감이 좋다는 느낌이었어요 아무래도 글리세린 성분 때문인것 같아요
 🧼🛁글리세린은 보습에 좋기도 하고 미끌미끌 꾸덕한 성분이잖아요 저는 건조한 피부라서 좋았어요 
 그런데 미역처럼 미끌거리는 느낌을 싫어하시는 분들은 잘 생각해보시고 구매하셔야 할것 같아요 
 
 👃💐향기는 거의 느껴지지 않아서 좋았고 색도 무색 투명해서 안심이 되요 ㅎㅎ
 
 💆‍♀️그리고 이 제품으로 스킨팩 했더니 피부도 환해지도 수분감이 잘 채워졌어요 ㅎㅎ
 
 👍❣️용량도 많고 자극없이 순해서 꾸준히 사용하기 좋을것 같아요 ㅎㅎ
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 * 본 상품 후기는 올영체험단으로 선정되어 CJ올리브영으로부터 위 상품을 무료로 제공받아 작성한 것입니다.",2034
,,,,3,3,,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"재구매하는 이유를 사용 후 솔직한 리뷰를 싸보려고 합니당 ㅎㅎ
 
 첫 번째☝️먼저 좋았덤 점들을 써보려고 합니당 ㅎㅎ제일 좋았던 점은 진정효과 인거 같아요!̆̈!̆̈!요즘 같이 더위로 얼굴이 후끈거리고 마스크로 인해 트러블이 자주 생기는 분들에게 최고의 제품인거 같아요ㅠㅠ처음 사용 시에는 잘 모르지만 2주 정도 사용하니 확실히 진정효과를 많이 보게 되었어요!̆̈!̆̈끈적이는 형태가 아니라 뽀송하게 피부에 흡수되는 형태여서 더욱 더 좋았답니당 ㅎㅎ
 
 두 번째✌️아쉬웠던 부분을 써보려고 합니당 ㅠㅠ아쉬웠던 부분은 용량인거 같아요ㅠㅠ대용량 제품으로 나온다면 더욱 더 좋을 것 같습니당 ㅎㅎ🙌🏻
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",2035
,,,,3,3,,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"우선 빠른배송이 만족스럽규요 용기디자인 자체도 너무 치장스러윤 것 보다는 깔끔하고 심플해서 좋은거같아요 심플하게 ! 사용하기 편리하구요 투명해서 남은용량 확인하기에도 요긴해요 향자체는 식물? 향이 살짝나면서 자연스러운 느낌이구요 너무많이 안써도 발림성이 있어서 얼굴 골고루 잘 펴발라지는거같아요 ! 보습력도 상당히 오래가는 편이구요 마스크팩하기전에 피부진정및 정화할때 사용해도 좋구요 그렇다고 너무 보습이 오래가는건 아니니 빠르게 로션발라주는 센스들은 있어야겠죠? 요즘같은 예미하고 민감하신 피부 가지신분들이 사용하시기에 추천드립니다 ~! 만족해요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 #보습 #저자극 #순한맛",2036
,,,,3,3,,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"아비브 브랜드에 요새 관심이 많아서 찾아보다가 토너가 마침 떨어져서 구매를 해봤어요! 전에 아비브 패드를 써봤는데 너무 좋아서 토너도 고민없이 바로 구매했는데 역시...5겹 솜에 적셔서 얼굴에 올려두면 엄청 촉촉하고 진정돼요. 몸에 열이 많은데 냉장고에 넣어뒀다 팩하면 굿굿!! 자극이 없어 데일리 토너로 딱인것 같아요 ㅎㅎ 무엇보다 유수분 밸런스가 잘 맞는것 같고 얼굴 닦아냈을때 잔여물 남는거 없고 건조한 느낌도 없어요! 얼굴에 유분?끈적임? 뭐라도 바른 느낌 드는거 싫어하는데 요건 그냥 딱 바로 흡수되니까 편하게 쓰기 젛아요 굿굿!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",2037
,,,,4,4,,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"당분간은 이 토너에 정착하려구요~~
 로벡틴 토너를 사용하면서 히알루론산이 주성분인 제품이 저와 맞지 않다는 걸 깨닫고 그로 인해 각종 트러블로 망가진 제 피부를 거의 80%까지 회복시키는데 도움을 준??토너예요.
 사실 저처럼 피지, 각질이 항상 과다해서 모공이 걸핏하면 막혀 트러블 나는 지성 피부는 기초 제품 사용할 때 트러블만 안 나도 감지덕지 거든요 ㅠㅠ
 양 볼에 2방울 씩만 떨어트려서 총 2번 레이어링 해주면 딱 요즘같은 환절기에 부족하지도 과하지도 않은 수분감을 주고 마무리감도 끈적이지 않고 촉촉 산뜻해요. 저는 지성이라 그런지 별도의 수분앰플 없이도 조금 피부가 당기는 날엔 한 두번 더 레이어링 해주고 보습제 발라주면 전~~혀 건조함 없이 쵹쵹했습니다.
 물제형이기 때문에 메이크업 전에 사용해도 좋고 용량에 비해 살짝 가격대가 있긴 하지만 워낙 소량만 사용해도 전 수분감이 충분했기때문에 너무 금방 쓰지도 않을 것 같아요. 전반적으로 만족스러워서 또 재구매할 것 같습니다!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",2038
,,,,4,4,,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"아비브 제품이라면 .. 궁금해서 다 써봐요! 
 
 🤍피부타입
 복합성 피부에, 약간의 트러블이 올라오는 피부에요. 
 T존이 지성이라 고민이기도 합니다. 
 
 🤍구매이유 
 저는 수분충전, 진정 용도로 스킨 제품 구매했어요! 
 
 🤍사용감 
 향은 거북스럽지 않고, 제형은 물과 점성 있는 제형의 그 사이 같아요! 아주 물 같지도 점성이 강하지도 않은 느낌입니다 :)
 
 속건조를 확! 잡아준다기 보다는 진정 효과가 더 있는 것 같아요. 피부가 약간 예민한 편인데, 거부감 없이 잘 쓰고 있어요. 
 
 🤍재구매의사 
 있습니다 :) 다만 닦토로 사용은 안하고 바로 피부에 1-2번 정도 흡수시켜 주는 용도로 더 적합한 것 같아요!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 아비브 아비브토너 어성초토너",2039
,,,,3,3,,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"흠.. 뭔가 애매하게 좋아요! 아비브 어성초 팩이 유명해서 그거 쓰다가 제 피부에 잘 맞아서 토너도 한번 사봤는데 제 생각에는 팩이 훨씬 좋은것 같긴해요!
 
 그래도 뭔가 피부 붉은기 같은거는 진정이 좀 되는 느낌입니당👍 엄청 촉촉하진 않아서 저같은 건성에는 추천드리고 싶진 않아요ㅠㅠ 제 생각에는 복합성 피부 갖은 분이 사용하시면 유수분 밸런스도 딱 잡아주고 좋을것 같아요!
 
 저는 건성에 민감성이라 아무거나 사용하면 피부가 엄청 붉어져서 조심해서 써야하는데 역시 어성초라 그런가 피부에 문제는 없었어요! 근데 막 뛰어나게 피부가 좋아진다 이런 느낌보다는 그냥 더 나빠지지는 않는다? 요런 느낌입니당
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 아비브 어성초",2040
,,,,3,3,,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"어머니가 올영에서 얻은 아비브 샘플을 써보시곤 아 여기제품 순하고 좋다 하셔서! 탑쿠폰으로 아비브토너를 구매했어오~! 
 
 아비브는 어성초가 유명한데 저희가족은 전부 20대때 트러블을 겪엇던터라 나이먹어도 트러블이 생기더라구여 그래서 진정제품이 집에 항상있는데 우연히 올영에서 아비브샘플을 얻게돼서 이 토너를 접해봤는데 저는 천연성분이 맞는편이 아니라서 못바르고 엄마가 천연성분이 잘 맞는편이라 되게 촉촉하다고 이것만 발라도 문제가 없을정도라고 끈끈X, 건조함X
 
 건성들에겐 건조하겠지만 복합성인 저와 엄마는 이거바르고 크림으로 마무리하면 진짜 좋아요! 천연성분 안맞는저에겐 조금 빨간게 올라오는디 엄마는 또 넘 잘맞아서 잘 쓸것같아여~!
 
 사계절내내 쓰기좋고 물제형이라 화장솜에 적셔서 팩으로 사용하기에도 좋아요~
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",2041
,,,,4,4,,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"향
 제가 향에 정말 민감해서 조금만 이상한 향이 나면 아예 상용하지 않을정도인데 이건 정말 은은한 부담없는 향이여서 거부감이 들지 않았어요! 오히려 향이 좋아서 맡고 싶은ㅋㅋ
 제형+마무리감
 유분감이 거의 진짜 거의 없고 완전 워터리한 제형이라 건조할수도 있다고 생각했었는데 건조하지 않고 완전 촉촉해요! 어느정도 보습감도 있고 진정효과도 있습니다! 홍조를 너무 잘 재워줘요💕
 토너팩
 닦토로도 좋지만 진정, 수분충전을 위해 토너팩으로 더 자주 사용해줬습니다! 조금만 자극을 주거나 더워도 홍조가 스멀스멀 올라와서 고민이였는데 이 토너로 토너팩해주면 홍도조가 사라져요! 심지어 수분충전도 잘 해줘서 앰플이 필요가 없어요ㅋㅋ 바로 수분크림으로 마무리만 해줘도 건조함이 느껴지지 않았어요! 전 건성인데 말이죱 !!
 
 재구매 의사 완전 100%!! 1000%!!!!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",2042
