id,review,label
1021,좁쌀 진정시키기에 정말 좋은 거 같아요 두 번씩 레이어링 해주는데 많이 안 끈적거리지만 촉촉해요 담날 일어나면 조금은 진정된 느낌이에요,1
1172,"알 누아 패드 제품이랑 같이 사용하려고 구입한 수딩 토너입니다. 기획세트로 본품이 350ml, 미니어처 40ml, 그리고 화장솜 60매가 들어있어서 가격 대비 구성비 좋은 제품인 거 같아요~ ^^ 알 누아 수딩 토너는 마스크 착용과 더운 날씨로 인해 피부 피지, 트러블이 잘 생기는데 어청초 성분이 77% 함유되어 있어서 자극받아 민감해진 피부를 쿨하게 진정에 도움을 주기 때문에 붉은 기, 피지 등등에 효과가 있고, 예민, 문제성 피부도 사용할 수 있는 논꼬 메도 제닉 테스트와 전 성분 EWG GREE N 등급, 그리고 여드름성 피부 사용 적합 판정도 완료된 제품이라서 더욱 안심하고 사용하실 수 있습니다. ^^ 피부 보호를 해주는 약산성 토너로 진정이 필요하신 손상된 피부이신 분들이나, 외부 환경으로 자극받은 신 피부이신 분들께 추천드리는 수딩 토너입니다.",1
498,"아 누아 어성초 토너는 올리브영 입점 이전부터 사용했는데 닦도 보다 “토너 팩”으로 사용했을 때 효과가 더 좋아요!! 저는 민감한 수부 지대인데 다른 물도 너는 날아가서 더 건조하게 만들지만 알 누아 어성초 토너는 살짝 마무리감이 있다고 해야 하나요? ? 끈적임은 전혀 없지만 아~~ 주 살짝 보습감이 있어서 막 더 건조해지지는 않아요!! 그렇다고 앰풀, 크림을 뒤에 안 발라도 되는 정도는 아니고요!! 그냥 아침저녁으로 가볍게 토너 팩해주고 자기 피부다 입에 맞게 앰풀, 크림 발라주시면 좋을 것 같아요!! 저는 개인적으로 다 사용하고 나면 또 구매할 것 같아요 :)",0
416,친언니가 사용하는 거 훔쳐 쓰고 괜찮길래 구매했어요~~~ 엄청 예민 피부인데 트러블 안 나고 좋아요! 수분감 미쳤다기보다는 그냥 딱 가격 대비 수분 크림입니다 :) 앰풀 바르고 위에 한번 덮어주는 식으로 발라요,0
536,스킨을 다 써서 뭘 사야 할까 고민하고 있었는데 친구가 제품을 하나 추천해준다고 해서 제품을 본 다음 괜찮은 거 같아서 사서 닦토로 사용 중고 냄새도 무난하고,0
1468,행사기간에 구매해서 아주 저렴한 가격으로 본품 두통을 구매할 수 있었습니다! 제형은 끄덕 하기보단 가벼워서 여름에 가볍게 사용하기 좋을 것 같고 건성 분들보단 지성분들에게 사용하기 적합할 것 같습니다! 산뜻하게 가볍게 마무리되는 느낌이며 크림 안에 아주 작은 알갱이가 살짝 있는 거 같은데 저는 이 부분이 조금 별로였습니다 ㅜㅜ 제품 안에 뭐가 있는 걸 별로 안 좋아해서 ㅜ 하지만 이 부분 말고는 여름에 가볍게 사용하기 좋아서 매우 만족스럽고 향도 좋으며 마무리가 무겁지 않아서 좋았습니다! 가볍게 잘 흡수되는 만큼 이후 단계에서 밀림 걱정 같은 건 하지 않으ㅅ ㅕ도 될 것 같습니다! 이후 다 사용하면 재구매 의사도 들 것 같습니다 행사기간에 잘 구매하셔서 저렴하고 구성비 좋게 이용하시면 모두 좋을 것 같다는 생각이 듭니다! !,1
937,20ml짜리 다 쓰고 본품 구매했습니다. 계절에 따라 다른 기초 제품을 써야 한다는 말이 맞는 것 같습니다. 얼굴이 촉촉하고 유분 광어 아니라 진짜 수분 광어 돕니다!! 수부 지대인데 좁쌀 여드름에도 효과를 좀 본 것 같습니다. 자작나무 수분크림 튜브타입은 왜 맨날 품절인지 알 수가 없지만 이런 용기 타입에도 스패출라는 줘서 다행입니다. 보관하는 게 좀 난감 하긴 하지만 잘 보관해서 써보려고요. }~~ 굉장히 예민한 편이라 이것도 사기 전에 며칠 테스트해보고 산 건데 잘 맞아서 다행이에요 ㅠㅠ 다들 피부는 케바케이니 꼭 테스트를 해보고 사세요....!!! ㅠㅠ,1
235,마스크 때문인지 턱 주변에 좁쌀 여드름같이 마구 올라와서 고민이었어요. 피부과 시술받아도 안 가라앉았는데 이거 듬뿍 바르고 며칠 지나니까 점점 없어지고 있어요!! 알갱이가 녹을 때까지 롤링해주니 마사지 효과도 있는 것 같고.. 10배 넘는 레이저 시술 다 필요 없네요. 강추합니다! !,0
1516,티존은 유분이 있는 지성피부이고 볼은 중성 정도의 피부입니다 예전에 닥터 지 수딩 수분 크림? 사용했는데 볼 이랑 눈 쪽이 당기는 거 같아서 복합성을 고려하여 이 제품 사봤어요 먼저 사용감이 산뜻하고 수분이 있는 게 느껴질 만큼 수 부지 피부에게 좋은 제품인 거 같아요 복합성인 제 피부에도 잘 맞았고 티존 또한 유분을 조절해주는 토너와 사용하니 유분도 잘 안 나와서 좋았습니다 파운데이션이랑도 궁합이 좋은 거 같았고 쿨링감은 느껴지진 않았어요 진정에 도움이 된다기보단 수분 충전용으로 잘 사용할 듯해요 같이 온 패드도 좋은 거 같아요 성분도 좋아서 걱정 없이 사용할 수 있었고 티존에 사용할 시엔 유분이 올라오더라고요 볼만 사용했을 때는 정말 수분이 충전되는 느낌이에요 진정 효과는 제가 원래 트러블 피부가 아니어서 잘은 모르겠지만.. 열감을 낮춰주면서 붉은 기가 가라앉는 거 같아요! !,1
649,"여드름, 좁쌀에 특히 좋다고 해서 세일할 때 샀는데 잘 맞는 것 같아요",0
214,독도 제품 순하기로 유명해서 장벽 크림 써보고 수분크림도 구매했어요,0
